 target objtype jd band frameid radius flux fluxerr PSmag instmag instmagerr elapsed_min
0 85952637084765674 ref 2460872.071512806 g gri3 11 31762.146005859366 267.82900206460806 16.81920051574707 -11.254774594511778 0.00915528957558915 65.13226255774498
0 85952637084765674 ref 2460872.071512806 g gri3 12 32288.650864257816 289.0151097569225 16.81920051574707 -11.272624747534469 0.009718404454383453 65.13226255774498
0 85952637084765674 ref 2460872.071512806 r gri3 5 44428.02947753905 176.68597198915907 15.733200073242188 -11.619142628363859 0.004317867772157083 65.13226255774498
0 85952637084765674 ref 2460872.071512806 r gri3 6 51120.23460937501 201.5896465609927 15.733200073242188 -11.77148209572617 0.0042815370361294364 65.13226255774498
0 85952637084765674 ref 2460872.071512806 r gri3 7 55712.053769531245 225.21063360175665 15.733200073242188 -11.864872921473237 0.004388984466619535 65.13226255774498
0 85952637084765674 ref 2460872.071512806 r gri3 8 58787.56918457033 248.17363884075655 15.733200073242188 -11.923213757142491 0.004583470765902992 65.13226255774498
0 85952637084765674 ref 2460872.071512806 r gri3 9 60887.82866210936 270.99457906295913 15.733200073242188 -11.96132621708415 0.004832306098721883 65.13226255774498
0 85952637084765674 ref 2460872.071512806 r gri3 10 62338.66630859376 293.87720399346773 15.733200073242188 -11.986893766547023 0.005118382201975536 65.13226255774498
0 85952637084765674 ref 2460872.071512806 r gri3 11 63475.03187499997 317.076497646389 15.733200073242188 -12.006507319084294 0.0054235724347572924 65.13226255774498
0 85952637084765674 ref 2460872.071512806 r gri3 12 64428.48981445312 340.4817849049356 15.733200073242188 -12.022694879315104 0.005737731894641281 65.13226255774498
0 85952637084765674 ref 2460872.071513964 i gri3 5 64449.90064941406 194.57632193350145 15.149299621582031 -12.023055630544558 0.0032778725053596563 65.13392955064774
0 85952637084765674 ref 2460872.071513964 i gri3 6 73595.21682861328 219.28322801793536 15.149299621582031 -12.167123972921095 0.0032350436620052114 65.13392955064774
0 85952637084765674 ref 2460872.071513964 i gri3 7 79716.80234863283 242.18004814938618 15.149299621582031 -12.253874674199444 0.0032984720736275886 65.13392955064774
0 85952637084765674 ref 2460872.071513964 i gri3 8 83769.20500732423 264.24666199028167 15.149299621582031 -12.307710984721238 0.0034249121486141336 65.13392955064774
